tissue,cq,cq_mean,cq_std,sq,sqmean,sq_std,logSQ,positive,organism_num,day,temp,titer,plate
LW,36.55,36.75,0.32,64.5,57.5,11,1.809559715,1,12,3,30C,e7,2
Sal,38.42,39.43,0.88,19.5,11.4,7.03,1.290034611,0,12,3,30C,e7,2
Abd,0,0,0,0,0,0,0,0,13,3,30C,e7,2
LW,37.63,38.29,1.11,32.3,24.4,13.1,1.509202522,0,13,3,30C,e7,2
Sal,0,0,0,0,0,0,0,0,13,3,30C,e7,2
Abd,0,0,0,0,0,0,0,0,14,3,30C,e7,2
LW,36.27,37.58,1.22,77.2,41,32.1,1.8876173,1,14,3,30C,e7,2
Sal,0,39.87,0.02,0,7.65,0.0934,0,0,14,3,30C,e7,2
Abd,0,0,0,0,0,0,0,0,15,3,30C,e7,2
LW,38.09,38.38,0.37,24,20.3,4.57,1.380211242,0,15,3,30C,e7,2
Sal,35.97,37.08,1.57,93.8,58.2,50.4,1.972202838,1,15,3,30C,e7,2
Abd,0,0,0,0,0,0,0,0,16,3,30C,e7,2
LW,36.44,36.94,0.55,69.2,52.4,17.4,1.840106094,1,16,3,30C,e7,2
Sal,38.26,39.77,1.39,21.5,10.7,9.51,1.33243846,0,16,3,30C,e7,2
Abd,35.64,36.06,0.36,62.2,48.3,12.1,1.793790385,1,9,3,33C,e7,3
LW,0,39.15,0.36,0,6.4,1.49,0,0,9,3,33C,e7,3
Sal,0,39.72,1.16,0,5.01,3.45,0,0,9,3,33C,e7,3
Abd,0,39.32,0.15,0,5.67,0.546,0,0,10,3,33C,e7,3
LW,37,38.03,0.97,25.7,15,9.53,1.409933123,0,10,3,33C,e7,3
Sal,0,38.16,0.48,0,12.3,3.79,0,0,10,3,33C,e7,3
Abd,35.89,36.36,0.45,53,40,12,1.72427587,1,11,3,33C,e7,3
LW,37.58,38.27,1.04,17.6,12.8,6.68,1.245512668,0,11,3,33C,e7,3
Sal,0,39.98,0.5,0,3.8,1.22,0,0,11,3,33C,e7,3
Abd,37.28,38.47,1.04,21.4,11.6,8.49,1.330413773,0,12,3,33C,e7,3
LW,36.4,37.2,0.89,37.8,25,12.9,1.5774918,1,12,3,33C,e7,3
Sal,0,0,0,0,0,0,0,0,12,3,33C,e7,3
