tissue,cq,cq_mean,cq_std,sq,sqmean,sq_std,logSQ,positive,organism_num,day,temp,titer,plate
LW,35.5,36.42,0.93,130,81.1,45.5,1.909020854,1,6,14,30C,e7,1
Sal,0,0,0,0,0,0,0,0,6,14,30C,e7,1
Abd,37.96,36.92,0.92,27.1,58.2,27.9,1.764922985,0,7,14,30C,e7,1
LW,36.45,36.44,0.01,71,71.6,0.515,1.854913022,1,7,14,30C,e7,1
Sal,0,0,0,0,0,0,0,0,7,14,30C,e7,1
Abd,37.63,36.67,1.13,33.6,73.6,54.5,1.866877814,0,8,14,30C,e7,1
LW,35.64,35.07,0.94,119,194,127,2.28780173,1,8,14,30C,e7,1
Sal,0,0,0,0,0,0,0,0,8,14,30C,e7,1
Abd,33.96,33.95,0.25,853,864,127,2.936513742,1,9,14,30C,e7,2
LW,35.29,35.48,0.21,394,355,43.2,2.550228353,1,9,14,30C,e7,2
Sal,39.91,0,0,27.1,0,0,0,0,9,14,30C,e7,2
Abd,37.73,37.78,0.08,96.1,93.1,4.31,1.968949681,0,10,14,30C,e7,2
LW,37.52,36.88,0.75,108,167,76,2.222716471,0,10,14,30C,e7,2
Sal,0,0,0,0,0,0,0,0,10,14,30C,e7,2
Abd,38.24,37.68,0.49,71.6,101,25.9,2.004321374,0,11,14,30C,e7,2
LW,34.64,34.54,0.97,574,678,382,2.831229694,1,11,14,30C,e7,2
Sal,0,0,0,0,0,0,0,0,11,14,30C,e7,2
Abd,36.28,36.4,0.43,222,212,49.7,2.326335861,1,12,14,30C,e7,2
LW,35.91,35.4,0.71,275,392,173,2.593286067,1,12,14,30C,e7,2
Sal,0,0,0,0,0,0,0,0,12,14,30C,e7,2
Abd,0,0,0,0,0,0,0,0,13,14,30C,e7,2
LW,39.35,0,0,37.5,0,0,0,0,13,14,30C,e7,2
Sal,0,0,0,0,0,0,0,0,13,14,30C,e7,2
Abd,37.81,37.42,0.59,91.6,119,43.3,2.075546961,0,14,14,30C,e7,2
LW,0,38.91,1.19,0,54.2,34.5,1.733999287,0,14,14,30C,e7,2
Sal,0,0,0,0,0,0,0,0,14,14,30C,e7,2
Abd,33.58,33.32,0.33,1058,1251,250,3.09725731,1,15,14,30C,e7,2
LW,0,0,0,0,0,0,0,0,15,14,30C,e7,2
Sal,0,0,0,0,0,0,0,0,15,14,30C,e7,2
Abd,0,0,0,0,0,0,0,0,16,14,30C,e7,2
LW,0,0,0,0,0,0,0,0,16,14,30C,e7,2
Sal,0,0,0,0,0,0,0,0,16,14,30C,e7,2
Abd,37.46,37.25,0.49,291,334,92.9,2.523746467,0,1,3,33C,e7,1
LW,34.6,35.2,0.56,1363,1013,316,3.005609445,1,1,3,33C,e7,1
Sal,40.3,40.51,0.31,62.7,56.2,9.27,1.749736316,0,1,3,33C,e7,1
Abd,37.76,37.96,0.44,247,226,49.5,2.354108439,0,2,3,33C,e7,1
LW,35.35,35.6,0.35,908,800,144,2.903089987,1,2,3,33C,e7,1
Sal,0,0,0,0,0,0,0,0,2,3,33C,e7,1
Abd,36.76,36.93,0.26,423,388,52.5,2.588831726,0,3,3,33C,e7,1
LW,36.55,36.84,0.41,476,411,90.7,2.613841822,0,3,3,33C,e7,1
Sal,37.52,38.08,0.72,280,218,75.7,2.338456494,0,3,3,33C,e7,1
Abd,34.45,34.78,0.29,1476,1243,205,3.094471129,1,4,3,33C,e7,1
LW,36.06,36.26,0.19,619,556,57.3,2.745074792,1,4,3,33C,e7,1
Sal,39.72,39.68,0.06,85.5,87.5,2.8,1.942008053,0,4,3,33C,e7,1
Abd,36.59,37.78,1.04,464,274,166,2.437750563,0,5,3,33C,e7,1
LW,37.92,37.41,0.69,227,314,125,2.496929648,0,5,3,33C,e7,1
Sal,41.49,40.74,1.06,33C,53.5,29,1.728353782,0,5,3,33C,e7,1
Abd,37.84,38.06,0.28,236,211,31.1,2.324282455,0,6,3,33C,e7,1
LW,36.7,36.72,0.25,438,435,56.9,2.638489257,0,6,3,33C,e7,1
Sal,39.73,0,0,85.1,0,0,0,0,6,3,33C,e7,1
Abd,37.14,37.49,0.31,346,289,49.6,2.460897843,0,7,3,33C,e7,1
LW,38.41,39.21,0.69,173,118,47.8,2.071882007,0,7,3,33C,e7,1
Sal,39.71,0,0,86.2,0,0,0,0,7,3,33C,e7,1
Abd,36.49,38.64,3.14,489,282,238,2.450249108,0,8,3,33C,e7,1
LW,40.37,0,0,60.3,0,0,0,0,8,3,33C,e7,1
Sal,39.78,40.29,0.72,82.8,65.3,24.8,1.814913181,0,8,3,33C,e7,1
Abd,35.6,35.28,0.34,761,917,171,2.962369336,1,17,7,33C,e7,3
LW,38.51,38.33,0.84,155,183,86.6,2.26245109,0,17,7,33C,e7,3
Sal,0,38.46,0.71,0,165,62.9,2.217483944,0,17,7,33C,e7,3
Abd,36.06,35.59,0.53,591,788,236,2.896526217,1,18,7,33C,e7,3
LW,37.31,0,0,298,0,0,0,0,18,7,33C,e7,3
Sal,0,0,0,0,0,0,0,0,18,7,33C,e7,3
Abd,35.63,35.77,0.23,748,697,83,2.843232778,1,19,7,33C,e7,3
LW,39.66,39.44,0.31,82.3,93.6,16,1.971275849,0,19,7,33C,e7,3
Sal,0,0,0,0,0,0,0,0,19,7,33C,e7,3
Abd,35.88,35.76,0.23,653,700,92.8,2.84509804,1,20,7,33C,e7,3
LW,37.79,33.29,10.28,229,561000,972000,5.748962861,0,20,7,33C,e7,3
Sal,39.52,40.76,1.75,88.7,55.8,46.5,1.746634199,0,20,7,33C,e7,3
Abd,0,0,0,0,0,0,0,0,1,14,33C,e7,1
LW,12.59,26.44,19.58,232000000,116000000,164000000,8.064457989,0,1,14,33C,e7,1
Sal,0,0,0,0,0,0,0,0,1,14,33C,e7,1
Abd,38.99,39.68,0.97,394,296,139,2.471291711,0,2,14,33C,e7,1
LW,0,0,0,0,0,0,0,0,2,14,33C,e7,1
Sal,0,0,0,0,0,0,0,0,2,14,33C,e7,1
Abd,37.45,38.49,1.47,857,579,393,2.762678564,0,3,14,33C,e7,1
LW,38.01,39.29,1.11,646,380,231,2.579783597,0,3,14,33C,e7,1
Sal,39.52,0,0,302,0,0,0,0,3,14,33C,e7,1
Abd,37.97,38.69,0.88,659,487,193,2.687528961,0,4,14,33C,e7,1
LW,38.09,38.59,0.71,620,498,173,2.697229343,0,4,14,33C,e7,1
Sal,41.32,40.15,1.01,122,238,100,2.376576957,0,4,14,33C,e7,1
Abd,39.7,39.69,0.93,276,298,137,2.474216264,0,5,14,33C,e7,1
LW,39.63,38.86,1.2,286,480,317,2.681241237,0,5,14,33C,e7,1
Sal,0,0,0,0,0,0,0,0,5,14,33C,e7,1
Abd,0,0,0,0,0,0,0,0,6,14,33C,e7,1
LW,0,40.21,0.78,0,222,84.8,2.346352974,0,6,14,33C,e7,1
Sal,0,0,0,0,0,0,0,0,6,14,33C,e7,1
Abd,38.56,0,0,491,0,0,0,0,7,14,33C,e7,1
LW,0,0,0,0,0,0,0,0,7,14,33C,e7,1
Sal,39.66,0,0,282,0,0,0,0,7,14,33C,e7,1
Abd,38.57,40.33,2.94,487,328,253,2.515873844,0,8,14,33C,e7,1
LW,0,0,0,0,0,0,0,0,8,14,33C,e7,1
Sal,0,0,0,0,0,0,0,0,8,14,33C,e7,1
Abd,37.99,38.5,0.72,468,370,138,2.568201724,0,9,14,33C,e7,2
LW,39.51,39.82,0.44,208,179,41.6,2.252853031,0,9,14,33C,e7,2
Sal,0,0,0,0,0,0,0,0,9,14,33C,e7,2
Abd,38.64,39.1,0.64,331,267,89.9,2.426511261,0,10,14,33C,e7,2
LW,0,0,0,0,0,0,0,0,10,14,33C,e7,2
Sal,0,0,0,0,0,0,0,0,10,14,33C,e7,2
Abd,38.15,39.09,1.32,429,294,191,2.46834733,0,11,14,33C,e7,2
LW,37.32,38.27,0.91,669,437,212,2.640481437,0,11,14,33C,e7,2
Sal,0,0,0,0,0,0,0,0,11,14,33C,e7,2
Abd,39.43,38.94,0.86,218,305,151,2.484299839,0,12,14,33C,e7,2
LW,0,0,0,0,0,0,0,0,12,14,33C,e7,2
Sal,0,0,0,0,0,0,0,0,12,14,33C,e7,2
Abd,38.71,39.09,0.54,319,266,75.6,2.424881637,0,13,14,33C,e7,2
LW,0,0,0,0,0,0,0,0,13,14,33C,e7,2
Sal,0,0,0,0,0,0,0,0,13,14,33C,e7,2
Abd,0,38.59,0.7,0,352,129,2.546542663,0,14,14,33C,e7,2
LW,0,38.96,0.65,0,287,97.4,2.457881897,0,14,14,33C,e7,2
Sal,0,0,0,0,0,0,0,0,14,14,33C,e7,2
Abd,39.46,39.32,0.2,214,232,24.7,2.365487985,0,15,14,33C,e7,2
LW,0,0,0,0,0,0,0,0,15,14,33C,e7,2
Sal,0,0,0,0,0,0,0,0,15,14,33C,e7,2
Abd,0,0,0,0,0,0,0,0,16,14,33C,e7,2
LW,0,0,0,0,0,0,0,0,16,14,33C,e7,2
Sal,0,0,0,0,0,0,0,0,16,14,33C,e7,2
Abd,39.39,39.04,0.5,562,674,158,2.828659897,0,17,14,33C,e7,3
LW,0,0,0,0,0,0,0,0,17,14,33C,e7,3
Sal,0,39.08,0.17,0,653,52.2,2.814913181,0,17,14,33C,e7,3
Abd,0,38.34,1,0,972,442,2.987666265,0,18,14,33C,e7,3
LW,38.86,0,0,723,0,0,0,0,18,14,33C,e7,3
Sal,0,0,0,0,0,0,0,0,18,14,33C,e7,3
Abd,38.87,38.8,0.07,719,744,25.4,2.871572936,0,19,14,33C,e7,3
LW,39.31,0,0,584,0,0,0,0,19,14,33C,e7,3
Sal,0,0,0,0,0,0,0,0,19,14,33C,e7,3
Abd,0,38.87,0.47,0,725,158,2.860338007,0,20,14,33C,e7,3
LW,35.56,35.78,0.19,3405,3077,286,3.488127496,1,20,14,33C,e7,3
Sal,0,0,0,0,0,0,0,0,20,14,33C,e7,3
Abd,30.64,31.54,0.8,2614,1606,879,3.205745541,1,1,7,27C,e7,1
LW,38.26,38.94,0.58,20.1,13.8,5.53,1.139879086,0,1,7,27C,e7,1
Sal,33.64,33.92,0.31,386,326,62.6,2.5132176,1,1,7,27C,e7,1
Abd,29.83,30C,0.18,4373,3931,453,3.594503044,1,2,7,27C,e7,1
LW,36.89,39.53,3.74,48.4,25.1,33.1,1.399673721,0,2,7,27C,e7,1
Sal,37.67,38.46,0.88,29.5,19.6,9.9,1.292256071,0,2,7,27C,e7,1
Abd,29.53,29.79,0.22,5278,4523,665,3.655426588,1,3,7,27C,e7,1
LW,36.52,37.38,0.75,61.4,38.5,19.9,1.58546073,0,3,7,27C,e7,1
Sal,40.3,39.02,1.36,5.51,15.9,13.3,1.201397124,0,3,7,27C,e7,1
Abd,35.28,36.02,0.71,135,90.2,40.9,1.955206538,1,4,7,27C,e7,1
LW,36.24,36.64,0.47,73.5,58.5,16.4,1.767155866,0,4,7,27C,e7,1
Sal,39.49,38.95,0.77,9.2,13.8,6.53,1.139879086,0,4,7,27C,e7,1
Abd,31.08,31.02,0.11,1966,2048,150,3.311329952,1,5,7,27C,e7,1
LW,37.67,38.32,0.92,29.5,21.5,10.2,1.33243846,0,5,7,27C,e7,1
Sal,0,38.35,1.05,0,21.3,13.3,1.328379603,0,5,7,27C,e7,1
Abd,32.19,32.37,0.25,970,870,132,2.939519253,1,6,7,27C,e7,1
LW,38.29,38.87,0.51,19.8,14.2,4.88,1.152288344,0,6,7,27C,e7,1
Sal,0,0,0,0,0,0,0,0,6,7,27C,e7,1
Abd,37.78,38.39,0.7,27.4,19.8,8.01,1.29666519,0,7,7,27C,e7,1
LW,36.62,37.39,1.4,57.5,43.5,26.8,1.638489257,0,7,7,27C,e7,1
Sal,0,0,0,0,0,0,0,0,7,7,27C,e7,1
Abd,36.9,37.53,0.6,48.1,33.8,13,1.5289167,0,8,7,27C,e7,1
LW,36.41,36.29,0.76,65.7,77,38,1.886490725,1,8,7,27C,e7,1
Sal,39.46,39.35,0.15,9.4,10.1,0.993,1.004321374,0,8,7,27C,e7,1
Abd,36,35.56,0.4,101,137,32.2,2.136720567,1,9,7,27C,e7,2
LW,36.23,36.78,0.76,87.5,66,27.1,1.819543936,0,9,7,27C,e7,2
Sal,39.56,0,0,10.6,0,0,0,0,9,7,27C,e7,2
Abd,35.96,35.83,0.22,104,113,16.2,2.053078443,1,10,7,27C,e7,2
LW,0,37.63,0.32,0,36.3,7.4,1.559906625,0,10,7,27C,e7,2
Sal,0,0,0,0,0,0,0,0,10,7,27C,e7,2
Abd,36.14,37.4,1.31,92.3,51.4,37.9,1.710963119,0,11,7,27C,e7,2
LW,38.62,37.91,1,19.2,33.1,19.7,1.519827994,0,11,7,27C,e7,2
Sal,0,0,0,0,0,0,0,0,11,7,27C,e7,2
Abd,37.17,38.08,1.62,48.2,35.3,23.5,1.547774705,0,12,7,27C,e7,2
LW,39.13,37.75,1.22,13.9,39.3,23.5,1.59439255,0,12,7,27C,e7,2
Sal,39.46,39.43,0.04,11.2,11.4,0.269,1.056904851,0,12,7,27C,e7,2
Abd,37.25,37.39,0.57,45.7,43.7,14.7,1.640481437,0,13,7,27C,e7,2
LW,0,37.73,0.04,0,33.6,0.792,1.526339277,0,13,7,27C,e7,2
Sal,0,0,0,0,0,0,0,0,13,7,27C,e7,2
Abd,37.09,37.59,0.71,50.7,38.7,16.9,1.587710965,0,14,7,27C,e7,2
LW,37.36,38.4,1.47,42.5,26.9,22,1.42975228,0,14,7,27C,e7,2
Sal,0,0,0,0,0,0,0,0,14,7,27C,e7,2
Abd,38.78,38.39,0.55,17.3,22.8,7.87,1.357934847,0,15,7,27C,e7,2
LW,36.67,37.58,0.86,66,40.9,22.6,1.611723308,0,15,7,27C,e7,2
Sal,39.65,39.03,0.98,9.95,16.9,11.5,1.227886705,0,15,7,27C,e7,2
Abd,33.46,33.31,0.28,507,564,105,2.751279104,1,16,7,27C,e7,2
LW,36.92,37.48,0.89,56.2,43.2,19.8,1.635483747,0,16,7,27C,e7,2
Sal,39.49,0,0,11,0,0,0,0,16,7,27C,e7,2
Abd,38.06,38.73,1.49,66.4,55.4,34.7,1.743509765,0,17,7,27C,e7,3
LW,37.21,37.98,0.9,110,75.8,35.4,1.879669206,0,17,7,27C,e7,3
Sal,38.51,39.26,1.07,51.2,36.2,21.2,1.558708571,0,17,7,27C,e7,3
Abd,36.98,37,0.27,125,125,19.2,2.096910013,0,18,7,27C,e7,3
LW,37.93,37.37,0.71,71.6,106,47,2.025305865,0,18,7,27C,e7,3
Sal,41.86,40.82,1.48,7.17,15.8,12.2,1.198657087,0,18,7,27C,e7,3
Abd,40.45,40.43,0.03,16.3,16.5,0.295,1.217483944,0,19,7,27C,e7,3
LW,37.22,37.23,0.19,109,109,11.9,2.037426498,0,19,7,27C,e7,3
Sal,39.14,38.5,0.91,35.2,54.9,27.8,1.739572344,0,19,7,27C,e7,3
Abd,37.42,38.36,0.88,96.6,61.1,31.9,1.78604121,0,20,7,27C,e7,3
LW,40,38.75,1.11,21.4,50.1,26.9,1.699837726,0,20,7,27C,e7,3
Sal,41.29,39.7,1.38,10,30.4,17.7,1.482873584,0,20,7,27C,e7,3
