tissue,cq,cq_mean,cq_std,sq,sq_std,logSQ,sqmean,day,temp,titer,positive,organism_num,plate
Abd,35.05792554,35.89931887,0.854631741,67.80724491,21.51288147,1.831276099,45.01351828,3,27C,e7,0,17,3
LW,33.53020751,35.10066137,1.426731405,165.0891491,71.17532409,2.217718529,83.82328147,3,27C,e7,0,17,3
Sal,32.67898191,34.8304591,1.868171425,271.043797,132.5670633,2.433039473,118.0152331,3,27C,e7,0,17,3
Abd,35.96730005,28.68480173,11.05897143,39.92511307,2653370.459,1.601246155,1532002.389,3,27C,e7,0,18,3
LW,34.32234417,34.42373826,0.135238916,104.0745088,7.58632739,2.01734437,98.30655612,3,27C,e7,0,18,3
Sal,24.49689326,23.16578869,13.87669309,31822.31329,185030998.3,4.502731747,106843623.6,3,27C,e7,0,18,3
Abd,29.60681531,33.29589417,3.292943229,1622.394203,895.8175098,3.210156386,588.6177101,3,27C,e7,1,19,3
LW,27.4905496,31.79401048,3.923547695,5565.117255,3119.901459,3.745474319,1964.441079,3,27C,e7,1,19,3
Sal,32.81865378,34.26041208,1.254376222,249.8670046,103.3443825,2.39770891,130.6732614,3,27C,e7,0,19,3
Abd,32.20427029,34.20802428,1.830058391,357.3713125,169.7791829,2.553119687,162.892922,3,27C,e7,0,20,3
LW,36.39950333,28.79490096,13.08954629,31.03977724,10005115.26,1.491918596,5776487.907,3,27C,e7,0,20,3
Sal,24.56484938,32.28695541,6.693885606,30587.35838,17638.57318,4.485541972,10220.08966,3,27C,e7,1,20,3
Abd,0,0,0,0,0,0,0,7,27C,e7,0,1,1
LW,0,0,0,0,0,0,725.1719665,7,27C,e7,0,1,1
Sal,0,0,0,0,0,0,0,7,27C,e7,0,1,1
Abd,0,0,0,0,0,0,0,7,27C,e7,0,2,1
LW,0,0,0,0,0,0,0,7,27C,e7,0,2,1
Sal,0,0,0,0,0,0,0,7,27C,e7,0,2,1
Abd,32.9724729,32.96933058,0.273187794,102.503403,18.41980217,2.010738284,103.8007046,7,27C,e7,0,3,1
LW,0,0,0,0,0,0,0,7,27C,e7,0,3,1
Sal,0,0,0,0,0,0,0,7,27C,e7,0,3,1
Abd,0,0,0,0,0,0,5.588684827,7,27C,e7,0,4,1
LW,0,0,0,0,0,0,0,7,27C,e7,0,4,1
Sal,0,0,0,0,0,0,0,7,27C,e7,0,4,1
Abd,0,0,0,0,0,0,6.055766768,7,27C,e7,0,5,1
LW,0,0,0,0,0,0,310268.7033,7,27C,e7,0,5,1
Sal,0,0,0,0,0,0,0,7,27C,e7,0,5,1
Abd,24.67574241,29.29126664,6.527336951,22748.6405,16046.27139,4.356955448,7601.475458,7,27C,e7,1,6,1
LW,0,0,0,0,0,0,0,7,27C,e7,0,6,1
Sal,27.93861373,22.87923106,7.15504759,2718.028871,1395109.303,3.434254066,659472.8515,7,27C,e7,1,6,1
Abd,0,0,0,0,0,0,3.008362891,7,27C,e7,0,7,1
LW,0,0,0,0,0,0,2.625101035,7,27C,e7,0,7,1
Sal,28.94344517,30.93669605,2.818882436,1412.861633,924.5281115,3.150099632,506.0810239,7,27C,e7,1,7,1
Abd,0,0,0,0,0,0,3.420167032,7,27C,e7,0,8,1
LW,0,0,0,0,0,0,611097.0152,7,27C,e7,0,8,1
Sal,18.71861362,18.71861362,0,1100426.265,0,6.041560948,366808.755,7,27C,e7,0,8,1
Abd,0,0,0,0,0,0,0,7,27C,e7,0,9,2
LW,38.00002453,37.85314887,0.207713543,73.36270383,8.027899301,1.865475329,52.69285724,7,27C,e7,0,9,2
Sal,0,0,0,0,0,0,758084448.8,7,27C,e7,0,9,2
Abd,0,0,0,0,0,0,34.8693912,7,27C,e7,0,10,2
LW,0,0,0,0,0,0,35.50819977,7,27C,e7,0,10,2
Sal,0,0,0,0,0,0,0,7,27C,e7,0,10,2
Abd,0,0,0,0,0,0,0,7,27C,e7,0,11,2
LW,0,0,0,0,0,0,0,7,27C,e7,0,11,2
Sal,0,0,0,0,0,0,0,7,27C,e7,0,11,2
Abd,0,0,0,0,0,0,0,7,27C,e7,0,12,2
LW,0,0,0,0,0,0,32.73008687,7,27C,e7,0,12,2
Sal,0,0,0,0,0,0,0,7,27C,e7,0,12,2
Abd,0,0,0,0,0,0,0,7,27C,e7,0,13,2
LW,0,0,0,0,0,0,0,7,27C,e7,0,13,2
Sal,0,0,0,0,0,0,0,7,27C,e7,0,13,2
Abd,0,0,0,0,0,0,0,7,27C,e7,0,14,2
LW,37.6628413,37.6628413,0,86.53743028,0,1.937203995,28.84581009,7,27C,e7,0,14,2
Sal,0,0,0,0,0,0,33.77819943,7,27C,e7,0,14,2
Abd,0,0,0,0,0,0,0,7,27C,e7,0,15,2
LW,36.17298876,37.00038451,0.787092767,179.5307733,49.06236925,2.254138902,125.8421329,7,27C,e7,0,15,2
Sal,19.18690502,19.18690502,0,737177.8202,0,5.86757226,245725.9401,7,27C,e7,0,15,2
Abd,37.21079219,36.7514186,0.649652359,107.9861282,43.39824873,2.03336797,92.44888276,7,27C,e7,0,16,2
LW,0,0,0,0,0,0,0,7,27C,e7,0,16,2
Sal,0,0,0,0,0,0,0,7,27C,e7,0,16,2
Abd,19.40369481,18.62012844,1.718666552,877307.5362,2416569.068,5.94315186,2172992.544,7,27C,e7,1,17,2
LW,24.81321699,27.27195071,3.477174574,29201.77027,19712.13942,4.46540918,10175.45521,7,27C,e7,1,17,2
Sal,37.25786546,23.2763995,12.19515265,11.63725307,8351334.241,1.065850479,6017604.077,7,27C,e7,0,17,2
Abd,37.35711582,37.35711582,0,10.93296171,0,1.038737827,3.644320571,7,27C,e7,0,18,2
LW,18.72730938,17.28572347,2.038710337,1342526.938,4871944.547,6.127923009,3191674.643,7,27C,e7,1,18,2
Sal,0,0,0,0,0,0,780879.2995,7,27C,e7,0,18,2
Abd,0,0,0,0,0,0,412.7185607,7,27C,e7,0,19,2
LW,26.82030972,27.2554892,9.57688237,8262.718092,1298908.847,3.917122936,754059.6131,7,27C,e7,1,19,2
Sal,26.36329331,28.39192201,3.087050509,11014.5839,5511.973896,4.041968095,6454.308993,7,27C,e7,1,19,2
Abd,27.7887822,27.68215168,8.794571726,4493.25536,723157.4793,3.652561101,419769.6338,7,27C,e7,1,20,2
LW,27.95049061,32.2433931,6.071080927,4058.695888,2856.976014,3.608386511,1359.00585,7,27C,e7,1,20,2
Sal,19.54521477,18.19184176,1.913958461,802587.2196,2547002.901,5.90449224,1735726.828,7,27C,e7,1,20,2
Abd,0,0,0,0,0,0,0,14,27C,e7,0,1,3
LW,0,0,0,0,0,0,1555028632,14,27C,e7,0,1,3
Sal,0,0,0,0,0,0,0,14,27C,e7,0,1,3
Abd,0,0,0,0,0,0,0,14,27C,e7,0,2,3
LW,36.81148221,36.81148221,0,351.8290274,0,2.546331668,117.2763425,14,27C,e7,0,2,3
Sal,0,0,0,0,0,0,0,14,27C,e7,0,2,3
Abd,0,0,0,0,0,0,0,14,27C,e7,0,3,3
LW,29.18001788,29.33783176,0.137070781,22345.00911,1562.520875,4.349180536,20545.39108,14,27C,e7,1,3,3
Sal,35.7260135,36.07230662,0.814820592,634.9823015,213.5051743,2.802761621,558.2698104,14,27C,e7,0,3,3
Abd,0,0,0,0,0,0,0,14,27C,e7,0,4,3
LW,0,0,0,0,0,0,103.2234879,14,27C,e7,0,4,3
Sal,0,0,0,0,0,0,0,14,27C,e7,0,4,3
Abd,0,0,0,0,0,0,0,14,27C,e7,0,5,3
LW,0,0,0,0,0,0,0,14,27C,e7,0,5,3
Sal,0,0,0,0,0,0,0,14,27C,e7,0,5,3
Abd,35.17047453,35.32698762,0.135701076,63.50477469,4.690360141,1.802806379,58.0942635,3,30C,e7,0,1,1
LW,37.34680894,35.91271914,1.600634645,17.87696648,50.57179455,1.252293826,55.10413546,3,30C,e7,0,1,1
Sal,39.64110674,30.50905135,13.24284134,4.698313131,3848086.605,0.671941958,2221710.28,3,30C,e7,0,1,1
Abd,35.21473181,34.40902782,1.101828345,61.88869456,79.17884143,1.791611322,114.5431828,3,30C,e7,0,2,1
LW,36.05797154,36.47654247,0.372430118,37.87131949,6.805059143,1.578310437,30.16007994,3,30C,e7,0,2,1
Sal,15.03069956,13.90490038,1.042014029,7893026.598,9127101.704,6.897243566,17025680.82,3,30C,e7,1,2,1
Abd,35.74852177,35.92797317,0.20038037,45.35101417,4.7065351,1.656587003,41.03395659,3,30C,e7,0,3,1
LW,23.22855926,31.55462033,7.213122594,66613.45196,38432.47031,4.82356194,22235.4582,3,30C,e7,1,3,1
